feature,missing_train,missing_test,variance,skewness,range,cv
ch0,0,0,32566077.442531142,0.5241729179186597,20424.817226734187,0.42578797295216136
ch1,0,0,46538160.23417026,1.3104576217592363,30634.48377532552,0.7897651834225397
ch2,0,0,234494709.56722957,0.7110045392229868,66643.14135358324,0.4308502339660248
ch3,0,0,44009533.18497437,0.09380710790319587,24370.13269905887,0.22861238009652673
ch4,0,0,10515593.344902886,-0.1792053486204669,12583.415517028583,0.15343884982289027
ch5,0,0,3025527.0425375607,-0.8827910750783977,8541.36837874008,0.04465357266722768
ch6,0,0,25560912.52934652,0.6079601051060477,19121.916616960567,0.43575654083690424
ch7,0,0,3617046.414552802,1.1026406194913465,7804.151434472066,0.4997501534177842
ch8,0,0,621089164.7285682,1.4466185649672996,99013.1272030588,0.6811301103385705
ch9,0,0,18362877.11162389,0.9158865349977867,17738.57174762716,0.45457335894560397
ch10,0,0,19503399.6953377,0.8872456746961199,18757.894876617793,0.36717457502408
ch11,0,0,8952179.552284824,0.4844349016194601,12742.90872062126,0.5240203578948787
ch12,0,0,197872074.26897568,0.4524580812355013,58105.237720678684,0.42832793823096477
ch13,0,0,376768.230166852,-0.1426746581698699,2432.4854623532055,0.19714369413454308
