feature,f_statistic,f_p_value,kruskal_h,kruskal_p,eta_squared,significance
ch0,111.65455870536137,5.3085037017345704e-64,158.740970390736,1.8359888901439192e-32,0.6707810202002299,High
ch1,162.63865655905448,7.89915757512106e-80,139.4557410140055,2.3353537926465805e-28,0.7479748961513812,High
ch2,31.400510380273875,3.060557063165093e-25,72.96477635802941,2.472405646601489e-14,0.36427290559824294,High
ch3,121.35314500017986,2.358751203090959e-67,153.74034411463643,2.1338097678517907e-31,0.6889070586849636,High
ch4,81.90594438798229,2.3273892324057702e-52,144.57414849662865,1.905713471172096e-29,0.5991395967063928,High
ch5,3.1783194354764355,0.008315978378250787,16.34189027561034,0.005932816381149571,0.05481910249250293,Medium
ch6,206.26023044951492,1.133923499274748e-90,160.14663132480644,9.21098849044132e-33,0.790086755437085,High
ch7,227.5366729766291,2.5453043188384153e-95,138.11716846869442,4.496005150820047e-28,0.8059054836119847,High
ch8,125.20435430444634,1.2362117362353586e-68,134.4402710267697,2.7160237676968523e-27,0.6955629200651715,High
ch9,209.13669804130953,2.53780669162462e-91,145.01676028088536,1.5342979247038354e-29,0.7923744579413388,High
ch10,122.9080819061951,7.1174688003565995e-68,129.47194021260825,3.0805716736612784e-26,0.691629106497662,High
ch11,120.62524405921269,4.148030479188623e-67,144.36943263459352,2.106690258922323e-29,0.6876162248262114,High
ch12,122.01705389718886,1.412376885532039e-67,147.4618012800627,4.6314807642701484e-30,0.6900751438158013,High
ch13,41.96891516223059,5.204972407859289e-32,121.01247377590141,1.9154047279443203e-24,0.4337024455825589,High
