feature,ks_statistic,ks_p_value,mw_statistic,mw_p_value,cohens_d,domain_shift_risk
ch0,0.4035714285714286,0.06385639523320255,1090.0,0.23493055903467164,-0.9031925618280444,Low
ch1,0.42142857142857143,0.04668677146709138,1102.0,0.2535780673824891,-1.1623612072099914,Medium
ch2,0.25357142857142856,0.49332534796437216,1455.0,0.8343295341791707,0.17852347367782723,Low
ch3,0.43214285714285716,0.038392894316263124,999.0,0.12429824936929894,-0.8526560115028228,Medium
ch4,0.4714285714285714,0.017851880372578628,918.0,0.06462698581844221,-0.9765116473488672,Medium
ch5,0.2714285714285714,0.40842301197448133,1616.0,0.4082290615592482,0.4769883026243802,Low
ch6,0.42857142857142855,0.04100531718223964,1066.0,0.20059539428525652,-1.0321473067965072,Medium
ch7,0.4357142857142857,0.03592426507912678,990.0,0.11606221426689846,-1.3993404824279312,Medium
ch8,0.4,0.06785211836673521,1093.0,0.23949878784943934,-1.1165994604758087,Low
ch9,0.4392857142857143,0.03359324958549793,995.0,0.12058317859348196,-1.2331115994747204,Medium
ch10,0.39285714285714285,0.07646439110912635,1038.0,0.16534683456316268,-0.9854534232673322,Low
ch11,0.45714285714285713,0.02379472407768883,747.0,0.012277434552647449,-1.060157764131738,Medium
ch12,0.36428571428571427,0.1204590743500403,1105.0,0.258396736197423,-0.5552570294531621,Low
ch13,0.21428571428571427,0.6983859155277939,1326.0,0.7778917845072842,-0.06735426769918795,Low
