feature,coefficient_variation,range_ratio,relative_std,mean_across_classes,std_across_classes
ch0,0.3157350592125544,0.5856348124028409,0.3157350592125544,12844.403596014905,4055.428529937713
ch1,0.645432758034386,0.7680851143235976,0.645432758034386,7254.005837640571,4681.972994585891
ch2,0.2228485198851754,0.4773634377828867,0.2228485198851754,33497.8340150427,7464.942729611549
ch3,0.1525501268791175,0.3682517177337804,0.1525501268791175,28471.68179737381,4343.358670651235
ch4,0.09345061683013382,0.2510828553213664,0.09345061683013382,21011.94200145149,1963.5789408346384
ch5,0.010857157809605247,0.0338027487955704,0.010857157809605247,38499.407073115864,417.9941381690514
ch6,0.33214824345551586,0.5929057493125014,0.33214824345551586,10989.153070216647,3650.027889336249
ch7,0.41577131789730937,0.6227952186690127,0.41577131789730937,3472.585227343309,1443.8013364832552
ch8,0.5210936017827562,0.6910639623048378,0.5210936017827562,31806.714784997966,16574.275568191435
ch9,0.3571798659417062,0.5936244623595492,0.3571798659417062,8740.434884449394,3121.907360299847
ch10,0.26568485950538245,0.49614911598196315,0.26568485950538245,11165.940505287232,2966.6213343926975
ch11,0.3768822772515124,0.6587425316460918,0.3768822772515124,5266.139491833903,1984.7146440064837
ch12,0.3044024967922372,0.5822332485857329,0.3044024967922372,30675.012594481264,9337.550422893419
ch13,0.09914966881166405,0.27401412849916174,0.09914966881166405,3113.133060447153,308.66611190997736
