Model,Accuracy,F1 (W),Precision,Recall,Specificity,MCC,Kappa (κ),AUC,Brier,CV Mean,CV Std,95% CI Lo,95% CI Hi,Model Type
BiLSTM + Attention,0.9405,0.9401,0.9422,0.9405,0.9317,0.8954,0.8936,0.9704,0.0395,0.9405,0.0,0.881,0.9881,Deep Learning
sklearn MLP,0.9286,0.9278,0.9314,0.9286,0.9159,0.8749,0.8716,0.9834,0.0372,0.9571,0.0233,0.869,0.9762,Deep Learning
Deep MLP (Residual),0.9286,0.9267,0.931,0.9286,0.9437,0.8769,0.8743,0.9802,0.0457,0.9286,0.0,0.8571,0.9762,Deep Learning
Transformer Encoder,0.9048,0.9021,0.9053,0.9048,0.923,0.8349,0.8323,0.9146,0.0655,0.9048,0.0,0.8333,0.9643,Deep Learning
Conv1D + Attention,0.881,0.8776,0.8923,0.881,0.8524,0.7927,0.7799,0.9088,0.0781,0.881,0.0,0.8095,0.9405,Deep Learning
Soft Voting Ensemble,0.8333,0.8231,0.8437,0.8333,0.8,0.709,0.6889,0.9159,0.0894,,,0.75,0.9048,Classical/Ensemble
Stacking Ensemble,0.8095,0.8008,0.8183,0.8095,0.7794,0.6609,0.6433,0.8684,0.1016,,,0.7262,0.881,Classical/Ensemble
Random Forest,0.7976,0.7863,0.8073,0.7976,0.7635,0.6398,0.6186,0.8775,0.1078,0.8667,0.0268,0.7024,0.881,Classical/Ensemble
Linear Discriminant Analysis,0.7976,0.7906,0.796,0.7976,0.7857,0.6375,0.6293,0.8463,0.1127,0.856,0.0302,0.7024,0.881,Classical/Ensemble
K-Nearest Neighbors,0.7976,0.7821,0.8155,0.7976,0.7524,0.6451,0.6136,0.8715,0.1102,0.8679,0.0401,0.7024,0.881,Classical/Ensemble
Gradient Boosting,0.7857,0.7793,0.788,0.7857,0.7698,0.6137,0.6038,0.8551,0.1251,0.8607,0.0429,0.6905,0.869,Classical/Ensemble
Logistic Regression,0.7857,0.7715,0.7959,0.7857,0.7476,0.6186,0.5935,0.8472,0.1169,0.8048,0.0449,0.7024,0.869,Classical/Ensemble
SVM (RBF),0.7619,0.7321,0.7946,0.7619,0.7075,0.5866,0.538,0.8922,0.1092,0.794,0.0344,0.6667,0.8452,Classical/Ensemble
Naive Bayes,0.6548,0.6561,0.6725,0.6548,0.7591,0.4383,0.4314,0.7958,0.214,0.6833,0.0377,0.5476,0.7619,Classical/Ensemble
