Model,Class,Sensitivity (Recall),Specificity,Precision,F1,TP,FP,FN,TN
Random Forest,ADB,0.9375,0.6111,0.7627,0.8411,45,14,3,22
Random Forest,UFB,0.8333,1.0,1.0,0.9091,10,0,2,72
Random Forest,WFB,0.5,0.95,0.8,0.6154,12,3,12,57
SVM (RBF),ADB,0.9583,0.5,0.7188,0.8214,46,18,2,18
SVM (RBF),UFB,0.8333,0.9861,0.9091,0.8696,10,1,2,71
SVM (RBF),WFB,0.3333,0.9833,0.8889,0.4848,8,1,16,59
K-Nearest Neighbors,ADB,0.9583,0.5833,0.7541,0.844,46,15,2,21
K-Nearest Neighbors,UFB,0.8333,1.0,1.0,0.9091,10,0,2,72
K-Nearest Neighbors,WFB,0.4583,0.9667,0.8462,0.5946,11,2,13,58
Conv1D + Attention,ADB,0.9583,0.8056,0.8679,0.9109,46,7,2,29
Conv1D + Attention,UFB,1.0,0.9861,0.9231,0.96,12,1,0,71
Conv1D + Attention,WFB,0.7083,0.9833,0.9444,0.8095,17,1,7,59
BiLSTM + Attention,ADB,0.9792,0.9167,0.94,0.9592,47,3,1,33
BiLSTM + Attention,UFB,0.9167,1.0,1.0,0.9565,11,0,1,72
BiLSTM + Attention,WFB,0.9167,0.9833,0.9565,0.9362,22,1,2,59
Transformer Encoder,ADB,0.9792,0.9167,0.94,0.9592,47,3,1,33
Transformer Encoder,UFB,1.0,1.0,1.0,1.0,12,0,0,72
Transformer Encoder,WFB,0.875,0.9833,0.9545,0.913,21,1,3,59
